,trainEpochLoss,valEpochLoss,trainEpochAccuracy,valEpochAccuracy
0,0.021343047092138374,2.635884184136126,0.1824,0.2165
1,0.020302671063553306,2.5907656530696577,0.226575,0.2313
2,0.0198227209739021,2.571769320770929,0.24755,0.2393
3,0.019458686960518876,2.5642039841590463,0.261825,0.2428
4,0.019163864969822014,2.5613877216689045,0.273225,0.2425
5,0.018921645223589252,2.5601366151123086,0.283325,0.2443
6,0.018718963722400978,2.5589242444381735,0.290975,0.2458
7,0.018545323223499027,2.5588849846329884,0.296875,0.2469
8,0.01840025049490877,2.5606934904165506,0.3021,0.249
9,0.01827839517223911,2.5636088346091,0.307025,0.2494
10,0.018172460690591172,2.5663289734821766,0.311825,0.2488
11,0.018079996673525337,2.568977712174711,0.315625,0.2473
12,0.017999993102036642,2.5714255340596126,0.318975,0.2469
13,0.017931809760082247,2.574115239670009,0.321225,0.2455
14,0.017875172351427774,2.57733700735521,0.324275,0.2474
15,0.017826215747088894,2.5797934985357873,0.326475,0.2457
